State,Month,Temperature,Humidity,Rainfall,LAI,Population_Density,Heat_Index,Season,Lagged_Rainfall,Urban_Risk,Disease
Meghalaya,July,24.6,97.0,169.1,2.3,116,24.6,Monsoon,221.1,Low,Dengue
Kerala,March,27.5,92.6,13.0,1.06,263,32.57,Summer,4.4,Low,Typhoid
Manipur,June,30.3,97.0,117.3,2.69,617,44.44,Monsoon,35.0,Medium,Malaria
Karnataka,September,30.2,91.8,36.4,0.5,141,42.11,Monsoon,96.1,Medium,Malaria
Manipur,June,28.3,97.0,135.1,2.36,158,36.16,Monsoon,32.6,Medium,Typhoid
Punjab,October,19.5,58.3,251.0,3.61,1059,24.84,Post-Monsoon,42.6,Medium,Cholera
West Bengal,September,28.7,97.0,420.0,6.21,2552,37.7,Monsoon,340.5,Medium,Malaria
Kerala,November,24.1,80.8,5.2,0.57,578,24.45,Post-Monsoon,266.3,Low,Cholera
Rajasthan,November,28.4,20.0,8.2,0.5,1384,28.4,Post-Monsoon,77.9,Low,Typhoid
Maharashtra,May,35.7,67.3,4.8,0.5,595,51.32,Summer,0.5,Medium,Typhoid
Bihar,July,28.7,97.0,57.0,0.5,1766,37.7,Monsoon,21.8,Low,Dengue
Jharkhand,August,31.2,89.8,23.3,0.83,757,45.42,Monsoon,90.6,Medium,Cholera
Telangana,October,27.6,74.6,30.4,1.41,573,30.45,Post-Monsoon,34.5,Low,Typhoid
Uttar Pradesh,August,32.2,76.5,181.7,3.8,10929,43.59,Monsoon,303.2,Medium,Dengue
Uttar Pradesh,June,34.3,68.0,253.1,3.84,1087,46.79,Monsoon,0.5,Low,Malaria
Tamil Nadu,June,38.9,97.0,420.0,5.55,378,95.4,Monsoon,61.6,Low,Typhoid
Telangana,January,19.7,52.0,1.1,0.5,1353,25.21,Winter,20.8,Low,Typhoid
Chhattisgarh,May,39.2,65.1,16.1,1.33,821,63.67,Summer,15.5,Low,Typhoid
Jharkhand,November,21.2,56.9,0.4,0.5,500,24.62,Post-Monsoon,23.8,Low,Heatstroke
Haryana,January,17.0,36.7,12.9,0.5,3085,26.27,Winter,16.8,Medium,Dengue
Chhattisgarh,August,34.7,80.6,150.6,2.37,684,55.6,Monsoon,47.4,Medium,Typhoid
Uttarakhand,January,11.6,49.5,23.1,0.5,1491,34.04,Winter,19.0,Low,Typhoid
Uttarakhand,November,11.6,51.0,23.3,1.64,528,34.17,Post-Monsoon,43.7,Medium,Typhoid
Punjab,July,27.8,81.3,420.0,5.61,448,31.79,Monsoon,193.8,Low,Dengue
Maharashtra,July,31.1,88.1,330.6,4.4,223,44.31,Monsoon,229.7,Low,Typhoid
Telangana,January,19.6,50.0,7.5,0.54,50,25.33,Winter,21.3,Medium,Typhoid
Chhattisgarh,December,21.0,58.9,15.8,0.75,270,24.48,Winter,7.5,Low,Typhoid
Haryana,April,35.2,41.3,7.2,1.02,101,38.0,Summer,78.7,Low,Malaria
Telangana,August,31.7,81.1,267.7,3.24,3869,43.74,Monsoon,28.0,High,Dengue
Andhra Pradesh,October,29.1,83.5,27.2,0.5,625,35.83,Post-Monsoon,111.0,Low,Typhoid
Meghalaya,September,24.1,97.0,0.7,0.5,820,24.1,Monsoon,30.5,Low,Malaria
Sikkim,June,18.9,97.0,66.2,1.93,50,18.9,Monsoon,2.8,Low,Malaria
Haryana,May,38.1,43.7,31.0,1.03,1819,45.45,Summer,8.6,Medium,Typhoid
Himachal Pradesh,December,8.0,48.3,0.6,0.5,2387,41.34,Winter,18.1,Medium,Malaria
Punjab,September,25.0,67.9,7.1,1.13,2786,25.99,Monsoon,389.2,Low,Dengue
Jharkhand,December,13.7,58.7,8.2,1.04,326,30.45,Winter,24.4,Medium,Typhoid
Sikkim,April,18.0,63.2,64.0,1.28,510,25.01,Summer,37.8,Low,Cholera
Haryana,September,28.1,69.8,8.4,0.67,1623,30.83,Monsoon,11.2,Medium,Malaria
Nagaland,July,25.9,97.0,77.3,1.47,676,28.0,Monsoon,294.9,Medium,Malaria
Bihar,November,22.8,64.2,49.9,0.5,167,24.43,Post-Monsoon,68.4,Medium,Typhoid
Telangana,September,37.2,81.9,129.3,2.38,293,68.75,Monsoon,1.7,Low,Cholera
Haryana,April,29.2,43.9,9.7,0.93,775,29.2,Summer,90.9,Medium,Malaria
Manipur,December,13.0,62.2,5.1,0.5,8471,31.24,Winter,4.3,High,Typhoid
Assam,December,13.4,73.1,6.1,0.5,1333,28.19,Winter,2.3,Medium,Typhoid
Manipur,September,28.5,94.8,139.0,1.02,157,36.42,Monsoon,39.6,Medium,Typhoid
Haryana,February,22.0,38.9,9.0,0.5,1484,24.95,Winter,12.4,Medium,Typhoid
Odisha,May,38.3,78.6,26.3,1.08,799,71.55,Summer,163.2,Medium,Heatstroke
Goa,August,31.0,97.0,106.5,2.19,891,47.65,Monsoon,280.1,Medium,Malaria
Jharkhand,September,24.4,84.1,26.5,0.82,12030,24.73,Monsoon,487.3,High,Dengue
West Bengal,October,23.4,88.1,76.6,1.76,1309,23.4,Post-Monsoon,463.8,Low,Cholera
Chhattisgarh,January,19.2,52.8,3.3,0.91,1038,25.38,Winter,20.1,Low,Typhoid
Telangana,June,41.8,91.4,131.8,1.27,245,109.61,Monsoon,28.4,Low,Dengue
Gujarat,August,35.2,74.7,420.0,5.65,266,53.96,Monsoon,451.9,Low,Malaria
Rajasthan,September,33.4,56.2,36.2,1.01,179,39.16,Monsoon,335.2,Low,Typhoid
Gujarat,August,31.6,74.6,420.0,5.71,232,40.88,Monsoon,504.0,Medium,Dengue
Andhra Pradesh,September,33.3,96.9,246.1,3.63,454,59.32,Monsoon,339.0,Low,Dengue
Madhya Pradesh,October,25.7,52.1,30.5,1.53,1026,26.4,Post-Monsoon,210.5,Medium,Heatstroke
Bihar,March,27.1,52.3,2.7,0.5,305,27.66,Summer,50.2,Medium,Dengue
Assam,December,15.6,70.1,30.5,0.5,152,25.85,Winter,2.6,Medium,Dengue
Madhya Pradesh,August,35.1,79.1,2.3,1.02,532,56.39,Monsoon,87.5,Low,Dengue
Punjab,March,26.5,45.6,2.2,1.11,394,26.76,Summer,2.3,Medium,Heatstroke
Haryana,July,29.7,89.4,67.8,2.86,80,39.41,Monsoon,16.3,Low,Cholera
Himachal Pradesh,September,19.5,79.5,414.4,5.64,1491,21.21,Monsoon,3.1,Low,Typhoid
Odisha,March,28.1,78.9,30.4,2.53,986,32.18,Summer,5.0,Low,Cholera
Manipur,September,25.1,97.0,2.0,0.8,843,25.71,Monsoon,29.4,Low,Dengue
Uttarakhand,February,12.5,53.7,0.4,0.5,757,32.66,Winter,8.1,Medium,Heatstroke
Nagaland,October,15.2,85.9,182.0,3.34,1110,20.92,Post-Monsoon,59.3,Low,Cholera
West Bengal,June,33.3,97.0,47.0,1.54,1843,59.38,Monsoon,7.7,Medium,Cholera
Maharashtra,May,41.5,66.8,29.5,0.5,196,76.02,Summer,0.4,Medium,Heatstroke
Karnataka,May,36.5,60.4,41.0,1.73,286,50.0,Summer,2.0,Low,Dengue
Delhi,May,32.4,50.7,6.8,0.5,264,35.29,Summer,16.3,Medium,Malaria
Jharkhand,November,15.7,60.0,11.2,0.5,1042,27.56,Post-Monsoon,21.2,Low,Heatstroke
Assam,July,31.0,97.0,104.9,2.17,410,47.65,Monsoon,26.5,Medium,Typhoid
Tripura,August,25.4,95.6,199.1,3.29,328,26.55,Monsoon,148.1,Medium,Cholera
Himachal Pradesh,September,13.4,72.5,366.4,4.48,324,28.37,Monsoon,3.6,Low,Dengue
Tamil Nadu,March,33.1,69.9,14.5,0.5,693,43.75,Summer,3.1,Medium,Heatstroke
Meghalaya,May,26.9,83.5,18.0,0.5,91,29.83,Summer,3.7,Low,Dengue
Nagaland,March,27.4,60.2,89.5,1.45,1572,28.62,Summer,15.5,Medium,Typhoid
Kerala,February,21.2,78.9,22.7,0.68,414,21.85,Winter,9.2,Low,Typhoid
Uttar Pradesh,January,15.9,44.4,12.7,1.86,486,27.81,Winter,16.2,Low,Typhoid
Himachal Pradesh,April,21.9,61.3,0.3,0.84,257,24.35,Summer,4.5,Medium,Typhoid
Goa,April,35.3,81.4,33.2,1.79,1465,58.88,Summer,15.3,Medium,Typhoid
Telangana,March,27.7,55.7,27.9,1.57,1062,28.61,Summer,19.8,Medium,Heatstroke
Uttar Pradesh,October,22.4,54.7,6.8,0.5,1692,24.82,Post-Monsoon,21.2,Low,Cholera
Madhya Pradesh,September,28.8,64.6,7.9,0.5,4749,31.4,Monsoon,75.2,High,Typhoid
Meghalaya,April,27.2,72.5,36.9,0.88,209,29.43,Summer,6.9,Medium,Typhoid
Gujarat,June,42.7,89.2,3.5,0.5,438,113.18,Monsoon,18.1,Medium,Dengue
Sikkim,July,15.8,97.0,420.0,5.83,547,15.8,Monsoon,370.9,Low,Cholera
Meghalaya,December,8.6,75.4,1.7,0.5,419,38.66,Winter,15.0,Medium,Cholera
Rajasthan,February,27.9,27.8,0.6,0.59,2419,27.9,Winter,22.8,High,Dengue
Goa,November,26.0,71.6,13.3,1.4,1589,27.35,Post-Monsoon,1.0,Medium,Typhoid
Chhattisgarh,November,18.4,63.5,4.3,1.56,124,24.73,Post-Monsoon,15.4,Low,Malaria
Tamil Nadu,March,30.4,74.6,7.1,1.02,1257,37.3,Summer,2.5,Low,Malaria
Andhra Pradesh,September,33.1,97.0,214.4,2.96,1572,58.29,Monsoon,396.2,Medium,Dengue
Karnataka,November,21.3,65.3,13.5,0.5,1678,23.88,Post-Monsoon,8.2,Low,Dengue
Jharkhand,October,26.2,76.7,78.2,1.35,759,27.9,Post-Monsoon,212.0,Medium,Typhoid
Rajasthan,September,37.6,47.6,100.5,1.82,140,46.16,Monsoon,289.0,Low,Dengue
Gujarat,January,21.9,36.7,19.3,0.83,6565,24.88,Winter,16.4,High,Cholera
Uttarakhand,February,12.5,45.2,3.5,0.75,531,32.03,Winter,6.6,Low,Dengue
Assam,November,17.6,69.7,43.4,1.03,2548,24.11,Post-Monsoon,75.2,Low,Cholera
Tamil Nadu,January,25.3,66.1,6.9,0.59,413,26.32,Winter,18.7,Medium,Heatstroke
Gujarat,August,37.4,78.3,420.0,6.13,194,66.65,Monsoon,442.3,Medium,Malaria
Jharkhand,March,27.6,63.1,3.7,0.5,523,29.18,Summer,13.3,Medium,Typhoid
Tripura,May,34.2,80.4,11.2,0.5,607,53.29,Summer,39.6,Medium,Malaria
Manipur,September,17.8,87.0,200.8,4.36,195,18.97,Monsoon,37.9,Medium,Malaria
Telangana,February,26.2,53.1,6.7,0.56,225,26.85,Winter,2.5,Low,Typhoid
Sikkim,March,14.8,67.2,20.6,0.5,159,27.52,Summer,3.0,Low,Cholera
Meghalaya,April,24.6,75.7,14.8,0.54,2741,25.38,Summer,6.1,High,Dengue
Tamil Nadu,November,29.1,82.8,21.6,0.5,173,35.66,Post-Monsoon,75.3,Medium,Dengue
Goa,November,15.9,90.4,34.6,0.5,2842,18.29,Post-Monsoon,1.0,High,Heatstroke
Goa,October,23.6,97.0,71.6,0.59,316,23.6,Post-Monsoon,33.3,Low,Malaria
Maharashtra,July,32.8,97.0,122.1,2.23,357,56.68,Monsoon,230.6,Medium,Heatstroke
Punjab,December,14.6,41.8,0.9,0.5,3031,28.88,Winter,8.0,Medium,Heatstroke
Telangana,April,34.0,65.5,1.6,1.01,243,44.61,Summer,8.1,Low,Heatstroke
Bihar,June,33.4,80.8,16.9,0.59,635,50.16,Monsoon,42.3,Medium,Malaria
West Bengal,March,31.3,78.3,10.1,0.5,1147,41.26,Summer,0.6,Low,Cholera
Meghalaya,April,24.7,83.9,0.8,0.5,315,25.26,Summer,5.9,Low,Malaria
Andhra Pradesh,August,32.1,95.4,141.1,2.03,2610,52.18,Monsoon,458.6,Low,Heatstroke
Tamil Nadu,September,32.1,97.0,7.9,1.44,173,53.04,Monsoon,48.4,Low,Dengue
Himachal Pradesh,November,8.0,63.3,7.9,1.61,2083,42.84,Post-Monsoon,14.9,Low,Typhoid
Manipur,August,21.2,97.0,100.5,2.27,4362,21.2,Monsoon,125.9,Low,Cholera
Assam,September,26.8,97.0,61.2,1.3,266,30.83,Monsoon,204.0,Low,Malaria
Goa,September,32.6,97.0,10.2,0.62,50,55.62,Monsoon,352.2,Medium,Cholera
Bihar,May,40.1,66.0,14.2,0.52,2432,68.49,Summer,80.7,High,Heatstroke
Jharkhand,December,11.2,57.1,3.3,0.5,792,35.12,Winter,20.7,Medium,Typhoid
Madhya Pradesh,November,20.7,40.5,55.6,1.16,117,25.07,Post-Monsoon,4.6,Medium,Typhoid
Manipur,November,10.2,78.1,1.7,0.9,1065,33.26,Post-Monsoon,23.5,Low,Cholera
Meghalaya,March,21.3,72.1,25.2,0.77,530,23.01,Summer,9.3,Medium,Cholera
Kerala,October,29.9,92.4,84.7,2.18,6607,41.12,Post-Monsoon,59.5,High,Typhoid
Nagaland,January,8.0,63.6,3.2,0.5,1161,42.82,Winter,23.3,Medium,Typhoid
Haryana,June,31.2,72.8,238.8,3.84,2672,39.04,Monsoon,34.2,High,Dengue
Madhya Pradesh,June,34.7,79.3,206.4,2.92,458,54.77,Monsoon,6.3,Medium,Malaria
Himachal Pradesh,February,10.1,46.8,1.5,0.76,659,36.45,Winter,0.5,Low,Typhoid
Assam,February,19.9,66.1,4.1,0.5,983,23.8,Winter,13.3,Low,Typhoid
Haryana,September,24.9,69.2,281.8,4.0,318,25.87,Monsoon,11.9,Low,Dengue
Himachal Pradesh,January,8.0,44.7,13.5,0.5,266,40.25,Winter,20.3,Low,Typhoid
Odisha,September,33.3,97.0,35.0,1.44,327,59.38,Monsoon,43.3,Low,Malaria
Chhattisgarh,November,23.1,69.6,34.2,0.5,2339,24.21,Post-Monsoon,16.0,Medium,Typhoid
Telangana,November,22.5,56.6,3.9,0.5,359,24.76,Post-Monsoon,46.2,Medium,Typhoid
Tamil Nadu,July,35.1,97.0,181.5,3.53,1077,69.81,Monsoon,16.6,Low,Cholera
Andhra Pradesh,January,25.1,55.9,8.5,0.5,244,26.03,Winter,18.5,Low,Typhoid
Kerala,December,22.6,65.8,11.9,0.5,261,24.22,Winter,5.6,Medium,Typhoid
Kerala,April,35.0,79.4,9.5,0.51,1069,56.15,Summer,10.9,Medium,Typhoid
Chhattisgarh,May,36.1,65.1,10.6,1.44,149,51.44,Summer,14.4,Low,Heatstroke
Assam,January,17.2,71.4,1.5,0.5,997,24.02,Winter,21.1,Medium,Malaria
West Bengal,February,24.1,74.6,7.5,0.5,80,24.81,Winter,5.4,Low,Typhoid
Maharashtra,January,17.4,53.1,24.0,0.7,409,26.48,Winter,19.1,Low,Typhoid
Madhya Pradesh,July,26.2,83.5,35.4,0.68,289,28.23,Monsoon,36.7,Medium,Heatstroke
Odisha,August,30.4,97.0,420.0,6.33,504,44.88,Monsoon,203.9,Low,Malaria
Manipur,November,11.1,62.9,4.7,0.5,1287,34.93,Post-Monsoon,26.4,Medium,Typhoid
Chhattisgarh,April,31.9,60.8,32.1,1.07,125,37.08,Summer,5.2,Medium,Cholera
Uttarakhand,November,9.3,50.0,32.0,1.88,275,38.72,Post-Monsoon,36.4,Medium,Typhoid
Uttar Pradesh,April,31.8,49.0,3.4,0.96,115,33.77,Summer,3.0,Low,Typhoid
Goa,May,43.8,85.3,115.1,2.54,802,115.37,Summer,9.5,Low,Dengue
Manipur,July,29.7,97.0,18.7,1.43,51,41.81,Monsoon,111.7,Low,Malaria
Telangana,December,20.0,57.0,1.6,0.77,640,24.79,Winter,84.1,Medium,Typhoid
Haryana,February,24.6,34.8,11.0,0.5,1135,25.38,Winter,16.8,Low,Typhoid
Uttarakhand,April,24.2,50.7,20.9,0.5,291,25.48,Summer,15.8,Low,Malaria
Madhya Pradesh,March,31.2,53.4,1.8,0.5,1375,33.68,Summer,26.5,Medium,Cholera
Karnataka,February,21.0,51.8,19.5,0.61,742,24.91,Winter,17.9,Medium,Heatstroke
Rajasthan,April,37.1,20.2,9.4,0.5,1390,37.1,Summer,7.3,Low,Typhoid
Andhra Pradesh,January,20.8,62.8,3.1,0.5,298,24.12,Winter,17.3,Low,Dengue
Gujarat,July,34.1,78.8,420.0,6.49,167,51.92,Monsoon,128.6,Low,Malaria
Jharkhand,November,21.9,61.8,32.6,0.81,54,24.31,Post-Monsoon,26.5,Medium,Typhoid
Bihar,February,21.9,52.4,1.9,0.5,737,24.86,Winter,6.7,Low,Typhoid
Rajasthan,April,39.0,36.1,22.3,1.46,239,43.85,Summer,6.6,Low,Heatstroke
Assam,May,34.6,83.9,10.1,0.82,702,57.31,Summer,54.0,Medium,Dengue
Andhra Pradesh,February,25.6,75.3,2.8,0.5,2429,26.84,Winter,0.5,Low,Malaria
Goa,December,21.1,71.1,6.5,0.64,1371,23.1,Winter,6.7,Low,Cholera
Jharkhand,January,17.7,53.1,12.5,0.5,1040,26.25,Winter,20.1,Low,Typhoid
Kerala,August,34.3,97.0,223.9,3.91,624,65.04,Monsoon,125.2,Low,Cholera
Tamil Nadu,August,33.4,97.0,420.0,5.95,2435,59.93,Monsoon,97.1,Medium,Malaria
Haryana,September,27.9,67.4,55.3,0.75,1814,30.15,Monsoon,13.6,Medium,Typhoid
Maharashtra,November,22.5,61.8,21.4,0.8,286,24.47,Post-Monsoon,74.0,Low,Malaria
Uttarakhand,March,19.5,51.4,52.8,1.35,1195,25.32,Summer,4.5,Medium,Typhoid
Odisha,March,29.0,66.0,7.4,0.71,1948,32.01,Summer,5.0,Medium,Malaria
Andhra Pradesh,May,41.8,70.4,59.6,1.12,5275,81.65,Summer,22.7,Medium,Heatstroke
West Bengal,October,29.9,93.3,118.8,2.09,716,41.41,Post-Monsoon,396.4,Low,Dengue
Rajasthan,October,35.2,38.9,55.3,1.32,823,37.26,Post-Monsoon,36.6,Low,Typhoid
Uttarakhand,February,14.3,51.9,16.2,0.98,101,29.87,Winter,9.2,Medium,Malaria
Punjab,July,26.0,78.4,100.9,2.23,411,27.61,Monsoon,241.2,Medium,Malaria
Himachal Pradesh,April,23.8,53.2,61.3,1.77,1801,25.29,Summer,4.6,Medium,Typhoid
West Bengal,June,36.8,95.1,131.0,2.57,541,78.76,Monsoon,9.5,Medium,Malaria
Madhya Pradesh,October,26.7,63.0,18.7,1.14,2467,27.9,Post-Monsoon,153.0,Medium,Typhoid
Andhra Pradesh,December,21.6,69.8,32.3,1.54,291,23.42,Winter,16.2,Low,Dengue
Karnataka,December,20.8,59.2,29.8,0.94,2055,24.46,Winter,5.5,Medium,Typhoid
Himachal Pradesh,November,8.2,50.1,2.9,0.5,68,41.29,Post-Monsoon,13.8,Medium,Dengue
Jharkhand,September,25.1,89.5,264.0,3.68,10011,25.89,Monsoon,423.9,High,Dengue
Himachal Pradesh,December,8.0,54.9,1.5,1.29,3785,42.6,Winter,23.7,Low,Typhoid
Jharkhand,January,21.3,48.8,16.8,0.5,6446,24.98,Winter,18.6,High,Heatstroke
Meghalaya,January,9.8,63.3,2.9,1.35,315,37.96,Winter,22.4,Medium,Typhoid
Tamil Nadu,December,19.0,61.7,4.1,0.5,346,24.67,Winter,24.9,Low,Typhoid
Manipur,May,30.4,81.3,10.4,1.04,169,39.33,Summer,44.0,Low,Cholera
Madhya Pradesh,March,30.4,47.0,1.4,0.5,398,31.16,Summer,23.6,Medium,Typhoid
Punjab,March,25.7,45.7,1.7,0.5,147,26.21,Summer,2.0,Low,Typhoid
Andhra Pradesh,December,20.3,60.0,24.2,1.89,999,24.46,Winter,13.1,Low,Cholera
Gujarat,February,24.2,58.8,0.5,0.6,131,25.41,Winter,11.7,Low,Typhoid
Assam,June,34.1,97.0,1.7,1.01,658,63.88,Monsoon,3.5,Low,Heatstroke
Gujarat,October,32.3,70.6,49.0,0.5,816,41.53,Post-Monsoon,123.8,Medium,Malaria
Nagaland,March,24.1,66.5,22.2,0.52,283,25.15,Summer,13.1,Low,Typhoid
Delhi,July,26.3,72.5,4.0,0.5,631,27.86,Monsoon,418.1,Low,Typhoid
Sikkim,February,8.0,57.1,0.8,0.65,524,42.81,Winter,10.1,Medium,Typhoid
Uttarakhand,January,8.7,49.5,0.3,0.95,828,39.98,Winter,21.7,Low,Typhoid
Uttar Pradesh,March,29.0,55.5,3.5,0.73,669,30.38,Summer,20.2,Low,Typhoid
Maharashtra,August,36.7,92.5,336.6,5.45,5943,75.61,Monsoon,492.8,Medium,Cholera
Gujarat,November,23.6,62.9,47.7,2.19,2422,24.93,Post-Monsoon,179.6,Medium,Typhoid
Delhi,January,15.5,35.3,1.7,0.62,131,27.07,Winter,19.2,Low,Heatstroke
West Bengal,July,33.2,97.0,96.9,1.93,1045,58.83,Monsoon,378.4,Low,Typhoid
Madhya Pradesh,April,41.3,51.0,51.0,1.46,1096,59.99,Summer,3.3,Medium,Heatstroke
Uttar Pradesh,May,35.7,57.4,30.6,0.52,1256,45.84,Summer,32.3,Low,Malaria
Karnataka,June,35.1,84.7,295.3,3.59,4647,60.27,Monsoon,200.6,Medium,Malaria
Nagaland,August,24.4,91.7,187.2,3.16,1676,24.4,Monsoon,94.4,Medium,Cholera
Madhya Pradesh,March,31.0,41.3,2.9,0.67,531,31.1,Summer,30.1,Low,Typhoid
Gujarat,May,43.8,47.6,38.7,0.74,826,66.04,Summer,1.3,Low,Heatstroke
Haryana,March,33.6,46.1,18.9,0.8,15000,36.35,Summer,1.5,High,Typhoid
Madhya Pradesh,December,18.1,42.2,2.7,1.19,113,26.05,Winter,50.0,Low,Heatstroke
Tamil Nadu,June,39.5,95.7,28.4,0.5,1036,98.2,Monsoon,57.9,Medium,Dengue
Jharkhand,May,35.8,69.0,16.1,1.26,193,52.74,Summer,34.1,Medium,Typhoid
Maharashtra,September,30.6,86.6,26.9,1.18,291,41.81,Monsoon,65.3,Low,Cholera
West Bengal,May,33.9,89.1,29.5,1.43,1844,57.36,Summer,209.0,Low,Cholera
Chhattisgarh,August,28.7,89.5,420.0,6.5,1462,35.93,Monsoon,49.4,Medium,Cholera
Telangana,September,32.1,83.4,33.9,1.15,886,46.25,Monsoon,1.6,Low,Dengue
Odisha,September,32.3,97.0,420.0,5.06,5883,54.06,Monsoon,44.2,High,Malaria
